Reply,Intent,Initial_Message
I'll forward your email to the right contact internally.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Can you walk me through how integrations work?,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Our company doesn't use workflow tools like this.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Thanks but we're not expanding tech stack this year.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
I'm not the right person to contact for this — try reaching out to our IT manager.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Can it automate approvals across multiple systems?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Not relevant to our operations, but appreciate you reaching out.",NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
We're satisfied with our in-house automation tools.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
You may want to contact our IT procurement department.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
What support options do you provide after setup?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Can you send pricing details?,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"We're exploring automation tools, would love to learn more.",INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Can you clarify if this works with Google Workspace?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"You've reached HR, not IT.",WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
We don't have the budget for new tools right now.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
I'd like to try a pilot version if possible.,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
We're under contract with another provider.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
This should go to our technical operations team.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
What's the pricing model — per user or per team?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Our management isn't considering new vendors right now.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"I'm not involved in software decisions, please contact our CTO.",WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
You might want to speak with our operations director instead.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
We've evaluated similar solutions and decided not to move forward.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
How customizable is the automation process?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Do you offer integrations with CRM tools like HubSpot?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
We have an internal solution already.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"I don't make purchasing decisions, try contacting our finance lead.",WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
What's the learning curve for new users?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Please remove me from your mailing list.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"I'll pass, thanks anyway.",NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Not something we plan to invest in.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Is there a mobile app version available?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Yes, I'm interested — please share pricing details.",INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Does it require any coding knowledge to use?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Thanks, but we're not looking for automation tools right now.",NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"I've shared this with my team, let's talk soon.",INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Not my responsibility area, but thanks for sharing.",WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Sounds great! Can we schedule a quick demo?,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Sounds useful, can you show how it fits into our stack?",INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
This could be a great fit — let's chat.,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
You've reached the wrong person — I don't manage automation tools.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
I'm not the best contact — try marketing ops.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Please send a link to your calendar for a meeting.,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
How does your tool differ from Zapier?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Can you send me a feature comparison sheet?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
You should contact our digital transformation manager for this.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Can you explain how automation triggers work?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Do you have any client testimonials or case studies?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Can you explain how FlowBoost integrates with Slack?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Not a fit for us, but thanks anyway.",NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Can it handle multi-step workflows involving multiple apps?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Can you share a short video overview of how it works?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Is there an on-premise version available?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Appreciate the email, but we're happy with our current system.",NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Is there a free trial before purchasing?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Do you support enterprise-grade security features?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
I think you meant to send this to someone else on our team.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Let's set up a short call this week.,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Thanks, but this doesn't align with our current priorities.",NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
This looks like a good match for us — let's talk.,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Yes, I'd like to discuss potential use cases.",INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
How does pricing scale with team size?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Please share your deck or product overview.,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"I don't manage workflow tools, reach out to HR tech lead.",WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Please email our partnerships team instead.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"This isn't relevant to my role, but I'll pass it along.",WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Wrong contact, forwarding you to the head of automation.",WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
We're scaling fast and need automation — let's connect.,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Our team isn't planning to adopt new software this quarter.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"No thanks, not something we need at the moment.",NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
We're already using a similar product.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"This aligns with our needs, can you send more info?",INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Not interested, thank you.",NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
How does the AI handle data privacy?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
We're not the right company for this offering.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
How much time does setup typically take?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Please stop emailing me about this product.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Please reach out to the business systems team instead.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
I'm not the decision maker here — please reach out to our product head.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
I'd like to connect with your sales team.,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"I don't handle this area, please reach out to someone in procurement.",WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Can I see a list of supported integrations?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
I'm not the end user — try product operations.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Wrong person, but I'll make sure it gets to the right team.",WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Looks interesting, what's the onboarding process like?",INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
What's the average ROI for existing customers?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"This isn't under my department, forwarding you to the right contact.",WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
We've been looking for something like this — tell me more.,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Would love to test this internally first.,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Please connect with our admin department about this.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"We've been researching similar products, let's talk.",INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
I'm not in charge of vendor evaluations.,WRONG_PERSON,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"Not interested, please don't follow up.",NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Can you send over a case study or demo video?,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Do you offer a free trial or demo session?,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"No, we're good with our current setup.",NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
"This looks promising, when can we connect?",INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
We're definitely interested — what are the next steps?,INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
Does FlowBoost require any maintenance from our end?,NEEDS_CLARIFICATION,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
We already have automation workflows in place.,NOT_INTERESTED,"I'm reaching out to introduce FlowBoost, an AI-driven workflow automation tool that helps teams cut manual tasks by 40% and integrate seamlessly with apps like Slack, Notion, and Google Drive. Would you be open to a quick chat this week to see how it could help your team streamline operations?"
